# generated by run.sh -- do not hand-edit
# date: 2026-09-08T03:08:01Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/viewiface
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBoxOnly/Field-23    	18306609	        13.01 ns/op	      24 B/op	       1 allocs/op
BenchmarkBoxOnly/Field-23    	17834710	        13.15 ns/op	      24 B/op	       1 allocs/op
BenchmarkBoxOnly/Field-23    	17168714	        13.11 ns/op	      24 B/op	       1 allocs/op
BenchmarkBoxOnly/Field-23    	18339513	        13.00 ns/op	      24 B/op	       1 allocs/op
BenchmarkBoxOnly/Field-23    	18742784	        13.08 ns/op	      24 B/op	       1 allocs/op
BenchmarkBoxOnly/Ptr-23      	635529734	         0.3791 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Ptr-23      	598449759	         0.3858 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Ptr-23      	624742602	         0.3791 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Ptr-23      	647202046	         0.3667 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Ptr-23      	632729899	         0.3771 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Ptr-23      	633417691	         0.3771 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Ptr-23      	645675122	         0.3673 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Ptr-23      	648245211	         0.3689 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Ptr-23      	651366182	         0.3683 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Ptr-23      	651542464	         0.3724 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Iface-23    	787758624	         0.2962 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Iface-23    	815643387	         0.2974 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Iface-23    	787728062	         0.2918 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Iface-23    	807637477	         0.2882 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Iface-23    	787911468	         0.3027 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Iface-23    	789848523	         0.3109 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Iface-23    	780284194	         0.3000 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Iface-23    	813992089	         0.2939 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Iface-23    	811970474	         0.2955 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxOnly/Iface-23    	800830220	         0.3008 ns/op	       0 B/op	       0 allocs/op
BenchmarkEscape/NoInline-23  	 7988037	        29.31 ns/op	      24 B/op	       1 allocs/op
BenchmarkEscape/NoInline-23  	 8129575	        29.50 ns/op	      24 B/op	       1 allocs/op
BenchmarkEscape/NoInline-23  	 8156269	        29.40 ns/op	      24 B/op	       1 allocs/op
BenchmarkEscape/NoInline-23  	 8241817	        29.18 ns/op	      24 B/op	       1 allocs/op
BenchmarkEscape/NoInline-23  	 8030280	        29.32 ns/op	      24 B/op	       1 allocs/op
BenchmarkEscape/NoInline-23  	 8163858	        28.75 ns/op	      24 B/op	       1 allocs/op
