# generated by run.sh -- do not hand-edit
# date: 2026-09-24T21:35:05Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 8  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/witness
cpu: QEMU Virtual CPU version 2.5+
BenchmarkPointRead/view/carried-witness-23                           	660389770	         0.3645 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/carried-witness-23                           	635597041	         0.3762 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/carried-witness-23                           	660020389	         0.3642 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/carried-witness-23                           	652545100	         0.3663 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/carried-witness-23                           	653928501	         0.3666 ns/op	       0 B/op	       0 allocs/op
BenchmarkPointRead/view/carried-witness-23                           	636459975	         0.3710 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxIntoShapeIface/interface(today)-23                       	19361800	        12.49 ns/op	      16 B/op	       1 allocs/op
BenchmarkBoxIntoShapeIface/interface(today)-23                       	19325452	        12.32 ns/op	      16 B/op	       1 allocs/op
BenchmarkBoxIntoShapeIface/interface(today)-23                       	19967595	        12.23 ns/op	      16 B/op	       1 allocs/op
BenchmarkBoxIntoShapeIface/interface(today)-23                       	18973156	        12.31 ns/op	      16 B/op	       1 allocs/op
BenchmarkBoxIntoShapeIface/interface(today)-23                       	20317693	        12.22 ns/op	      16 B/op	       1 allocs/op
BenchmarkBoxIntoShapeIface/interface(today)-23                       	20023076	        12.36 ns/op	      16 B/op	       1 allocs/op
BenchmarkBoxIntoShapeIface/interface(today)-23                       	20229826	        12.25 ns/op	      16 B/op	       1 allocs/op
BenchmarkBoxIntoShapeIface/interface(today)-23                       	19461086	        12.45 ns/op	      16 B/op	       1 allocs/op
BenchmarkBoxIntoShapeIface/pure-witness-23                           	616281952	         0.3782 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxIntoShapeIface/pure-witness-23                           	651165260	         0.3659 ns/op	       0 B/op	       0 allocs/op
BenchmarkBoxIntoShapeIface/pure-witness-23                           	653349373	         0.3677 ns/op	       0 B/op	       0 allocs/op
