# generated by run.sh -- do not hand-edit
# date: 2026-09-10T22:07:12Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/refcontainers
cpu: QEMU Virtual CPU version 2.5+
BenchmarkContainerShape/construct/ptr-23            	  314187	       739.8 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ptr-23            	  309282	       730.3 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ptr-23            	  328288	       737.9 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ptr-23            	  328412	       741.7 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ptr-23            	  328774	       748.4 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ptr-23            	  319675	       741.1 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ref-23            	  314424	       737.1 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ref-23            	  344530	       745.3 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ref-23            	  319729	       750.1 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ref-23            	  314979	       732.3 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ref-23            	  323989	       740.5 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ref-23            	  316375	       717.6 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ref-23            	  321056	       749.5 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ref-23            	  316579	       749.6 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ref-23            	  351133	       734.1 ns/op	    3496 B/op	       3 allocs/op
BenchmarkContainerShape/construct/ref-23            	  309637	       742.4 ns/op	    3496 B/op	       3 allocs/op
BenchmarkViewShape/construct/iface-23               	761705581	         0.3129 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/iface-23               	775980957	         0.3068 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/iface-23               	747749856	         0.3183 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/iface-23               	768573146	         0.3130 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/iface-23               	761227800	         0.3143 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/iface-23               	771257767	         0.3076 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/iface-23               	752702743	         0.3195 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/iface-23               	744769945	         0.3124 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/iface-23               	765333577	         0.3115 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/iface-23               	718385750	         0.3109 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/struct-23              	654558212	         0.3641 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/struct-23              	655843642	         0.3654 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/struct-23              	650009364	         0.3668 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/struct-23              	636614584	         0.3756 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/struct-23              	630705021	         0.3757 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/struct-23              	655293769	         0.3634 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/struct-23              	641123949	         0.3755 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/struct-23              	655393282	         0.3661 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/struct-23              	632779562	         0.3750 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/construct/struct-23              	642030013	         0.3751 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/iface-23                     	50096173	         4.925 ns/op	       0 B/op	       0 allocs/op
