# generated by run.sh -- do not hand-edit
# date: 2026-09-06T05:18:34Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/dispatch
cpu: QEMU Virtual CPU version 2.5+
BenchmarkSet/raw-builtin-23            	45050448	         5.155 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/direct-23                 	47472118	         5.058 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/direct-23                 	46371568	         5.055 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/direct-23                 	46837245	         5.041 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/direct-23                 	47397829	         4.900 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/direct-23                 	46634367	         5.043 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/direct-23                 	46270366	         5.045 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/direct-23                 	46708746	         5.028 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/direct-23                 	46097535	         5.046 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/direct-23                 	46741648	         5.044 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/direct-23                 	47078133	         4.940 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/iface-23                  	42654882	         5.580 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/iface-23                  	42315220	         5.575 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/iface-23                  	42913926	         5.580 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/iface-23                  	41941521	         5.569 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/iface-23                  	43548348	         5.459 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/iface-23                  	41847000	         5.446 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/iface-23                  	41783791	         5.607 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/iface-23                  	42423498	         5.442 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/iface-23                  	43061344	         5.603 ns/op	       0 B/op	       0 allocs/op
BenchmarkSet/iface-23                  	42954787	         5.586 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/krelinga/go-containers/experiments/dispatch	35.418s
