# generated by run.sh -- do not hand-edit
# date: 2026-09-06T03:47:51Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/bulkinsert
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBulk/naive/n=10000/k=256-23      	     273	    433263 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=256-23      	     282	    424749 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/naive/n=10000/k=256-23      	     283	    424747 ns/op	  245760 B/op	       1 allocs/op
BenchmarkBulk/bulk/n=10000/k=256-23       	    2166	     51040 ns/op	  260480 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=256-23       	    2431	     52706 ns/op	  260480 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=256-23       	    2619	     52168 ns/op	  260480 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=256-23       	    2413	     51736 ns/op	  260480 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=256-23       	    2334	     52621 ns/op	  260480 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=256-23       	    2360	     50513 ns/op	  260480 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=256-23       	    2954	     48547 ns/op	  260480 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=256-23       	    2226	     51267 ns/op	  260480 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=256-23       	    2316	     52039 ns/op	  260480 B/op	       2 allocs/op
BenchmarkBulk/bulk/n=10000/k=256-23       	    2299	     52179 ns/op	  260480 B/op	       2 allocs/op
BenchmarkBulk/naive/n=10000/k=1024-23     	      78	   1543197 ns/op	  565248 B/op	       2 allocs/op
BenchmarkBulk/naive/n=10000/k=1024-23     	      76	   1535217 ns/op	  565249 B/op	       2 allocs/op
BenchmarkBulk/naive/n=10000/k=1024-23     	      72	   1536610 ns/op	  565248 B/op	       2 allocs/op
BenchmarkBulk/naive/n=10000/k=1024-23     	      81	   1523756 ns/op	  565248 B/op	       2 allocs/op
BenchmarkBulk/naive/n=10000/k=1024-23     	      75	   1533554 ns/op	  565248 B/op	       2 allocs/op
BenchmarkBulk/naive/n=10000/k=1024-23     	      81	   1533585 ns/op	  565248 B/op	       2 allocs/op
BenchmarkBulk/naive/n=10000/k=1024-23     	      84	   1482356 ns/op	  565248 B/op	       2 allocs/op
BenchmarkBulk/naive/n=10000/k=1024-23     	      82	   1513094 ns/op	  565248 B/op	       2 allocs/op
BenchmarkBulk/naive/n=10000/k=1024-23     	      81	   1525900 ns/op	  565248 B/op	       2 allocs/op
