# generated by run.sh -- do not hand-edit
# date: 2026-09-06T04:05:51Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sortedsetbacking
cpu: QEMU Virtual CPU version 2.5+
BenchmarkLookup/bare/16384-23     	18886231	         6.350 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/16384-23    	 5999089	        20.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/16384-23    	 5966301	        20.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/16384-23    	 5948324	        20.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/16384-23    	 6102763	        19.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/16384-23    	 6057463	        18.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/16384-23    	 6896085	        17.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/16384-23    	 5904043	        20.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/16384-23    	 5929689	        20.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/16384-23    	 6911692	        17.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/16384-23    	 5753985	        19.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/16384-23   	 5946169	        20.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/16384-23   	 5807301	        20.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/16384-23   	 5945997	        19.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/16384-23   	 5944956	        20.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/16384-23   	 5843602	        20.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/16384-23   	 5885444	        20.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/16384-23   	 5800352	        20.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/16384-23   	 6050346	        19.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/16384-23   	 5789376	        20.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/16384-23   	 5983879	        20.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/262144-23    	15656065	         7.579 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/262144-23    	15671157	         7.528 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/262144-23    	15819940	         7.512 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/262144-23    	15734112	         7.392 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/262144-23    	16584471	         7.337 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/262144-23    	15366836	         7.597 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/262144-23    	15924094	         7.522 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/262144-23    	16037552	         7.466 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/262144-23    	15620840	         7.379 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/bare/262144-23    	16252293	         7.324 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/262144-23   	 4895384	        24.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/262144-23   	 4890003	        23.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/262144-23   	 4744264	        25.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/262144-23   	 4839976	        24.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/262144-23   	 4869938	        24.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/262144-23   	 4857634	        24.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/262144-23   	 4837689	        24.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/262144-23   	 4847936	        24.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/262144-23   	 4772718	        25.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vlast/262144-23   	 4843119	        24.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/262144-23  	 4760560	        25.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/262144-23  	 4637648	        25.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/262144-23  	 4756632	        25.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/262144-23  	 4795056	        24.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/262144-23  	 4619148	        25.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/262144-23  	 4804444	        25.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/262144-23  	 4601335	        25.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/262144-23  	 4636406	        25.89 ns/op	       0 B/op	       0 allocs/op
