# generated by run.sh -- do not hand-edit
# date: 2026-09-06T02:55:40Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sortedbacking
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBuildSequential/slice/8-23     	 1943293	       123.3 ns/op	        15.41 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/8-23     	 1953603	       123.8 ns/op	        15.48 ns/insert	     216 B/op	       2 allocs/op
BenchmarkBuildSequential/btree/8-23     	  808821	       261.2 ns/op	        32.65 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildSequential/btree/8-23     	  876980	       265.3 ns/op	        33.16 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildSequential/btree/8-23     	  946179	       264.8 ns/op	        33.10 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildSequential/btree/8-23     	  881780	       261.9 ns/op	        32.73 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildSequential/btree/8-23     	  959408	       262.0 ns/op	        32.75 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildSequential/btree/8-23     	  960878	       263.1 ns/op	        32.89 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildSequential/btree/8-23     	  915308	       262.7 ns/op	        32.83 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildSequential/btree/8-23     	  909777	       260.6 ns/op	        32.58 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildSequential/btree/8-23     	  895282	       261.9 ns/op	        32.74 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildSequential/btree/8-23     	  959738	       265.4 ns/op	        33.18 ns/insert	     760 B/op	       9 allocs/op
BenchmarkBuildSequential/slice/64-23    	  281498	       836.2 ns/op	        13.07 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/64-23    	  288868	       847.4 ns/op	        13.24 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/64-23    	  295507	       836.3 ns/op	        13.07 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/64-23    	  288380	       830.3 ns/op	        12.97 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/64-23    	  296292	       834.5 ns/op	        13.04 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/64-23    	  278704	       841.4 ns/op	        13.15 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/64-23    	  286804	       835.3 ns/op	        13.05 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/64-23    	  287886	       838.7 ns/op	        13.11 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/64-23    	  284007	       833.2 ns/op	        13.02 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/64-23    	  285566	       830.5 ns/op	        12.98 ns/insert	    1816 B/op	       2 allocs/op
BenchmarkBuildSequential/btree/64-23    	  127747	      1845 ns/op	        28.83 ns/insert	    6304 B/op	      18 allocs/op
BenchmarkBuildSequential/btree/64-23    	  125218	      1892 ns/op	        29.56 ns/insert	    6304 B/op	      18 allocs/op
BenchmarkBuildSequential/btree/64-23    	  131392	      1858 ns/op	        29.04 ns/insert	    6304 B/op	      18 allocs/op
BenchmarkBuildSequential/btree/64-23    	  125907	      1854 ns/op	        28.96 ns/insert	    6304 B/op	      18 allocs/op
BenchmarkBuildSequential/btree/64-23    	  134397	      1853 ns/op	        28.96 ns/insert	    6304 B/op	      18 allocs/op
BenchmarkBuildSequential/btree/64-23    	  129631	      1849 ns/op	        28.90 ns/insert	    6304 B/op	      18 allocs/op
BenchmarkBuildSequential/btree/64-23    	  126874	      1839 ns/op	        28.74 ns/insert	    6304 B/op	      18 allocs/op
BenchmarkBuildSequential/btree/64-23    	  119520	      1838 ns/op	        28.71 ns/insert	    6304 B/op	      18 allocs/op
BenchmarkBuildSequential/btree/64-23    	  138037	      1832 ns/op	        28.63 ns/insert	    6304 B/op	      18 allocs/op
